<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;D;230104;000000;2157.18;2174.23;2157.18;2172.68;12513772613
IMOEX;D;230105;000000;2171.54;2179.56;2162.06;2168.42;11572472226
IMOEX;D;230106;000000;2170.4;2171.94;2154.16;2156.67;9795860282
IMOEX;D;230107;000000;2157.32;2160.08;2153.32;2156.39;7629262703
IMOEX;D;230110;000000;2163.43;2169.71;2162.01;2163.5;18229374864
IMOEX;D;230111;000000;2162.7;2162.92;2145.14;2159.51;14437502211
IMOEX;D;230112;000000;2156.28;2190.4;2153.55;2186.98;35199068295
IMOEX;D;230113;000000;2193.53;2194.8;2177.36;2185.93;21247673022
IMOEX;D;230114;000000;2188.6;2204.18;2179.82;2199.94;27608131425
IMOEX;D;230117;000000;2204.64;2224.9;2204.46;2224.9;27004230302
IMOEX;D;230118;000000;2225.26;2226.49;2196.84;2196.84;31405275404
IMOEX;D;230119;000000;2188.9;2206.66;2177.65;2196.26;24354621288
IMOEX;D;230120;000000;2190.02;2193.93;2162.11;2168.83;25527858714
IMOEX;D;230121;000000;2167.61;2173.71;2154.37;2166.69;18771183436
IMOEX;D;230124;000000;2167.92;2186.85;2164.89;2185.31;20458882720
IMOEX;D;230125;000000;2191.64;2199.29;2172.75;2172.75;28998336156
IMOEX;D;230126;000000;2168.48;2176.61;2160.76;2170.15;22598835046
IMOEX;D;230127;000000;2181.96;2183.77;2166.92;2166.92;22688381374
IMOEX;D;230128;000000;2174.85;2189.35;2167.33;2189.35;22212005108
IMOEX;D;230131;000000;2193.99;2204.41;2189.12;2204.41;25330739987
IMOEX;D;230201;000000;2203.57;2225.6;2202.76;2225.6;33453607956
IMOEX;D;230202;000000;2232.02;2247.12;2224.95;2230.15;39301388253
IMOEX;D;230203;000000;2243.04;2249.56;2228.56;2243.54;32801716728
IMOEX;D;230204;000000;2239.1;2253.7;2216.63;2248.3;43309276904
IMOEX;D;230207;000000;2245.93;2276.5;2243.77;2272.37;41996751982
IMOEX;D;230208;000000;2281.69;2290.51;2262.3;2267.69;41020470817
IMOEX;D;230209;000000;2273.59;2283.49;2244.52;2251.97;36339368570
IMOEX;D;230210;000000;2258.97;2269.96;2241.02;2262.45;36676073920
IMOEX;D;230211;000000;2253.51;2264.39;2249.62;2261.58;20722191586
IMOEX;D;230214;000000;2262.65;2271;2261.37;2264.27;18330885936
IMOEX;D;230215;000000;2256.59;2256.96;2225.94;2232.23;31013851411
IMOEX;D;230216;000000;2216.69;2216.69;2164.7;2166.46;42696988341
IMOEX;D;230217;000000;2169.39;2186.64;2150.17;2153.96;33114594123
IMOEX;D;230218;000000;2157.5;2180.96;2147.31;2168.88;23600899785
IMOEX;D;230221;000000;2172.53;2186.39;2140.78;2183.57;31016215640
IMOEX;D;230222;000000;2184.6;2227.82;2184.51;2212.42;49446562564
IMOEX;D;230223;000000;2215.43;2215.58;2194.99;2212.4;20591028972
IMOEX;D;230225;000000;2209.1;2223.23;2202.25;2208.03;18884075081
IMOEX;D;230228;000000;2194.39;2241.1;2188.95;2241.1;36413144034
IMOEX;D;230301;000000;2246.26;2258.68;2239.59;2253.16;37037934005
IMOEX;D;230302;000000;2258.89;2287.48;2255.45;2279.65;39998084854
IMOEX;D;230303;000000;2284.87;2286.27;2235.43;2254.3;50700148754
IMOEX;D;230304;000000;2250.12;2273.52;2249.81;2272.2;26691515809
IMOEX;D;230307;000000;2286.2;2297.86;2283.4;2294.12;33805510005
IMOEX;D;230308;000000;2294.32;2298.93;2281.46;2295.6;24577188303
IMOEX;D;230310;000000;2295.03;2302.1;2278.95;2290.14;28737624061
IMOEX;D;230311;000000;2272.61;2283.18;2266.33;2276.25;28406887151
IMOEX;D;230314;000000;2279.13;2289.7;2250.14;2269.47;40548601017
IMOEX;D;230315;000000;2266.78;2290.32;2261.65;2290.32;37207686073
IMOEX;D;230316;000000;2287.16;2295.06;2257;2262.07;40744048851
IMOEX;D;230317;000000;2262.61;2269.01;2236.77;2258.22;35340044256
IMOEX;D;230318;000000;2284.78;2322.78;2275.48;2322.78;107891118681
IMOEX;D;230321;000000;2337.83;2397.16;2332.8;2397.16;85279239657
IMOEX;D;230322;000000;2417.43;2431.23;2383.08;2398.15;74761682397
IMOEX;D;230323;000000;2387.81;2398.76;2374.46;2393.88;34107041796
IMOEX;D;230324;000000;2386.7;2396.5;2379.88;2388.35;23549170562
IMOEX;D;230325;000000;2386.53;2394.03;2384.29;2391.53;20819951078
IMOEX;D;230328;000000;2400.84;2440.68;2400.84;2440.68;46667998385
IMOEX;D;230329;000000;2453.26;2458.37;2421.39;2442.19;41511360697
IMOEX;D;230330;000000;2449.96;2468.48;2437.52;2460.87;45320275043
IMOEX;D;230331;000000;2458.06;2467.97;2450.46;2465.93;29463490073
IMOEX;D;230401;000000;2470.12;2472.53;2424.45;2450.67;49027793443
IMOEX;D;230404;000000;2474.37;2482.54;2463;2473.32;38023970921
IMOEX;D;230405;000000;2483.47;2511.49;2479.24;2480.45;61354905797
IMOEX;D;230406;000000;2489.18;2500.8;2465.77;2500.8;45705249900
IMOEX;D;230407;000000;2504.06;2521.81;2498.3;2498.3;43265609089
IMOEX;D;230408;000000;2504.04;2511.95;2491.37;2508.39;28867367552
IMOEX;D;230411;000000;2523.2;2548.41;2523.2;2547.35;50694941214
IMOEX;D;230412;000000;2560.04;2577.51;2515.83;2533.69;82399290110
IMOEX;D;230413;000000;2538.62;2554.77;2520.65;2538.47;39300737126
IMOEX;D;230414;000000;2546.98;2557.58;2528.06;2544.28;31325943978
IMOEX;D;230415;000000;2546.93;2554.85;2532.39;2554.85;33765105934
IMOEX;D;230418;000000;2572.54;2596.45;2572.54;2596.11;48623055906
IMOEX;D;230419;000000;2601.34;2615.62;2586.05;2615.62;55112510691
IMOEX;D;230420;000000;2617.91;2629.01;2584.96;2606.55;75062780398
IMOEX;D;230421;000000;2600.71;2640.78;2565.61;2637.85;76052647220
IMOEX;D;230422;000000;2640.99;2648.21;2626.94;2639.95;57207992419
IMOEX;D;230425;000000;2636.76;2651.8;2609.4;2635.43;40359092138
IMOEX;D;230426;000000;2639.67;2642.12;2619.67;2626.86;32069854640
IMOEX;D;230427;000000;2625.62;2631.13;2614.98;2620.33;31796127488
IMOEX;D;230428;000000;2620.65;2646.18;2617.04;2646.18;57836207669
IMOEX;D;230429;000000;2653.93;2657.9;2608.02;2634.94;51137018779
IMOEX;D;230503;000000;2623.29;2635.53;2560.09;2580.51;63421980955
IMOEX;D;230504;000000;2585.4;2586.17;2532.42;2532.42;54463786540
IMOEX;D;230505;000000;2524.97;2547.2;2524.36;2524.51;38660000110
IMOEX;D;230506;000000;2544.47;2555.39;2529.08;2538.24;35444350761
IMOEX;D;230509;000000;2528.74;2538.23;2513.84;2527.59;20324340008
IMOEX;D;230511;000000;2483.92;2556.67;2483.79;2548.63;70899882336
IMOEX;D;230512;000000;2573.41;2610.8;2567.98;2595.12;74649425279
IMOEX;D;230513;000000;2570.65;2584.91;2552.05;2565.17;37699975037
IMOEX;D;230516;000000;2581.64;2611.71;2581.64;2611.07;43930838148
IMOEX;D;230517;000000;2645.94;2655.73;2621.59;2633.71;42600850257
IMOEX;D;230518;000000;2637.51;2646.61;2623.15;2634.48;38920642889
IMOEX;D;230519;000000;2650.12;2658.57;2624.49;2632.91;59105430926
IMOEX;D;230520;000000;2627.59;2635.8;2612.47;2626.16;58790715324
IMOEX;D;230523;000000;2648.3;2652.97;2622.35;2633.26;42553485689
IMOEX;D;230524;000000;2641.05;2648.69;2607.63;2641.66;72019568545
IMOEX;D;230525;000000;2643.73;2659.68;2626.43;2654.99;71788021943
